"","GDP_growth","Inflation_change","Debt_change","LeftRulingParty","RightRulingParty","NuclearExperiment","MissileThreat","EngageinBattle","MS_change"
"1960",0,0,0,1,0,0,0,0,0
"1961",-0.63747580530342,0,0,1,0,0,0,0,-0.755005698120835
"1962",0.141044585406757,0.227909202705605,0,1,0,0,0,0,0.156282003667325
"1963",0.294310511089682,0.442637076843374,0,0,1,0,0,0,-0.0041493775933622
"1964",-0.153061278581897,0.00981517947978015,0,0,1,0,0,0,-0.348433464154886
"1965",-0.108355015681702,-5.40130174179445,0,0,1,0,0,0,-0.040488670319522
"1966",0.205686987991649,0.673421750504371,0,0,1,0,0,0,0.253079130083347
"1967",0.19086616590536,-0.118083445550614,0,0,1,0,0,1,0.188899312962681
"1968",0.206470401336169,0.0659693251924161,0,0,1,0,0,0,0.217425132440955
"1969",0.2030853878851,0.0148786273149141,0,0,1,0,0,0,0.19690530824703
"1970",0.147284798869159,0.0509473783917533,0,0,1,0,0,0,0.101902524398976
"1971",0.0907231534904464,-0.324614353475257,0,0,1,0,0,0,0.161631879596595
"1972",0.0882709453087046,0.289778394602429,0,0,1,0,0,0,0.133565620057842
"1973",0.217215920905742,-0.240484046735681,0,0,1,0,0,1,0.0235602529630136
"1974",0.289988530258454,0.584212766253222,0,0,1,0,0,0,0.361303101292531
"1975",0.102835667630328,-0.291910523341171,0,0,1,0,0,0,0.172676332312164
"1976",0.271488585484494,-0.11514542884003,0,0,1,0,0,1,0.396614268440144
"1977",0.222231178895212,-0.469287592399038,0,0,1,0,0,0,0.236380424746076
"1978",0.260247669403088,0.338062074206653,0,0,1,0,0,0,0.29857512953368
"1979",0.223681652228392,-0.178098614226557,0,0,1,0,0,0,0.0997084548104964
"1980",-0.0236740994738406,0.248114751579666,0,0,1,0,0,0,0.1098562776422
"1981",0.103309447564453,-0.486272656883636,0,0,1,0,0,0,0.108235840650302
"1982",0.0692393296995657,-1.56813627303207,0,0,1,0,0,0,0.0393164636393106
"1983",0.107126890836343,-0.339815982793103,0,0,1,0,0,0,0.0143471732230833
"1984",0.0999882211994562,-0.0902416338496666,0,0,1,0,0,1,0.00951521871456132
"1985",0.0373749653914204,-0.109364406552246,0,0,1,0,0,0,0.0254615158211305
"1986",0.133011392791571,0.197646278503939,0,0,1,0,0,0,0.0829055558395453
"1987",0.210286060720486,-0.0281658588232158,0,0,1,0,0,0,0.118452500377399
"1988",0.258742176673035,0.321788765977226,0,0,1,0,0,0,0.218761486287204
"1989",0.191702052364172,-0.174470014751091,0,0,1,0,0,0,0.183396748864555
"1990",0.128597067917271,0.398746324995332,0,0,1,0,0,0,0.0634712772353409
"1991",0.142994753063041,-0.103536704633626,0,0,1,0,0,0,0.0771968783029831
"1992",0.0699717825169139,-0.175247549504181,0,0,1,0,0,0,0.0566646422631396
"1993",0.0945863019529842,-0.243574344875035,0,0,1,0,0,0,0.0616250701944536
"1994",0.153038471126011,0.233416531347626,1,0,1,0,0,0,0.0844602739572499
"1995",0.181731449251785,-0.161490076048625,0.258034894398531,0,1,0,0,0,0.159515987214586
"1996",0.0714328157105416,-0.708858534918628,0.24792817679558,0,1,0,0,1,0.0197194337390058
"1997",-0.0709340775739067,-0.026825215151315,0.103960396039604,0,1,0,0,1,-0.105073398828974
"1998",-0.486325515868695,0.105595515131624,-0.0659630606860158,1,0,0,1,0,-0.419826432474727
"1999",0.229505172107042,4.63944899588884,-0.0844062947067239,1,0,0,0,1,0.135362050900667
"2000",0.136529751168989,2.20363819825016,-0.0340236686390533,1,0,0,0,0,0.123607490125984
"2001",-0.0520760599580023,0.706262683341072,-0.16551724137931,1,0,0,0,0,-0.0663936099947382
"2002",0.12688457129511,-0.146831189070419,0.0986790986790987,1,0,0,0,1,0.082249105740322
"2003",0.107399159175131,0.120827422114193,0.06941431670282,1,0,0,0,0,0.110136855623106
"2004",0.114045040437358,-0.102981298940584,0.0674308833445718,1,0,0,0,0,0.11120762641358
"2005",0.151594717153169,-2.00352967881247,0.0845679012345679,1,0,0,0,0,0.195385543936901
"2006",0.112337579698761,5.6658690117264,0.293193717277487,1,0,1,1,0,0.119859263949113
"2007",0.101821373308431,1.09226024579383,0.323294951284322,1,0,0,0,0,0.0919310369800387
"2008",-0.119612728153482,0.144042042725238,-0.0721747388414055,0,1,0,0,1,-0.0634279318773124
"2009",-0.109537606722881,0.216796613183548,0.0832849680789321,0,1,1,1,1,-0.0609036929386449
"2010",0.174924279059999,-0.318227687646902,0.0317504917111548,0,1,0,0,1,0.127754964619796
"2011",0.0871002810349502,-1.13555981893098,0.11025,0,1,0,0,0,0.0908800099811361
"2012",0.0197153041333944,-0.0240097780296044,0.0217657128882367,0,1,0,1,0,0.0300469470068405
"2013",0.0673824694127867,-0.229017508546669,0.0344746162927981,0,1,1,1,0,0.0687664226357459
"2014",0.0764815914511044,-0.123108892342092,0.001885458402074,0,1,0,1,1,0.0863083840124447
"2015",-0.0126520074935311,0.715313316531585,-0.0711941428932088,0,1,0,1,1,-0.0268391846666161
"2016",0.0228905307947567,-0.60399506751866,-0.0363683935112507,0,1,1,1,0,0.00852681823756825
"2017",0.0762299319513083,0.106507494638152,0.0723300970873786,1,0,1,1,0,0.0583446236061299
"2018",0.0585235674884696,-3.60251798699018,0.0661831368993654,1,0,0,0,0,0.0905338662787595
"2019",-0.0444602540868568,1.57540143066495,0.0626726152538772,1,0,0,1,0,0.0187029510498332
"2020",-0.0043240558631156,1.63928668655784,0.136171774637548,1,0,0,1,1,0.0358738966380177
"2021",0.0920193816471812,0.432968914096251,0.133015115354017,1,0,0,1,0,0.0936342792980458
